PID,Text,Media,MediaURL,Emotion,HateSpeech
P:1577847696026738689,"SERIAL RAPIST and PEDOPHILE #realDonaldTrump acknowledges his INCEST was DISGUSTING

#RepDLamborn and #RepBoebert deny there are any moral limits on The  #GOP Lifestyle

https://t.co/wpHW7W0Xye",https://t.co/wpHW7W0Xye,,,
P:1577847678834278402,RT @BionicleArmy: @realDonaldTrump We're coming. Watch out. https://t.co/ioStlM3dGZ,https://t.co/ioStlM3dGZ,,,
P:1577846868142432256,@KremlinRussia_E @POTUS @VP @realDonaldTrump @naftalibennett @narendramodi @BorisJohnson @JustinTrudeau @EmmanuelMacron @antonioguterres @CERN @SpaceX @Dpol_un @JPN_PMO @AusSpaceAgency @universal_sci @MunSecConf @JAXA_en @YairLapid @gantzbe @ITUBDTDirector @SecDef @RoyalFamily ! https://t.co/zn8MSga7fz,https://t.co/zn8MSga7fz,,,
P:1577846722960703489,"RT @ilduce2016: “Liberty is a duty, not a right.” – @realDonaldTrump #MakeAmericaGreatAgain",NA,,,
P:1577846688533839873,"RT @Bella07808370: Trump is literally the anti-christ. — Donald J. Trump (@realDonaldTrump) November 25, 2018 As Trump says, ""I'm not sayin…",NA,,,
P:1577846269170503680,"RT @PardonRoss: Pushing to get to 497,000 now… wow. We REALLY ARE close now people!!!! #FreeRoss

https://t.co/dlbHi081vC",https://t.co/dlbHi081vC,,,
P:1577846254889046020,@shoutoutappusa @NickAdamsinUSA @realDonaldTrump He sucks trumps dick,NA,,,
P:1577846058738221056,@BeckyWoodall4 @joeystagaard @realDonaldTrump He wasn't found not guilty he was found insane and unfit to stand trial.  Not exactly a ringing endorsement.,NA,,,
P:1577845989255548928,"So Important! Supreme Court can save our Country. Without Borders and “REAL” Elections, we don’t have a Country!!!
RT: https://t.co/n5jEHpb4VP

@toket https://t.co/egRF8V6eyg",https://t.co/egRF8V6eyg,,,
P:1577845875505766401,RT @drefanzor: Twitter should restore @realdonaldtrump's account now so they get in good favors with their new boss @elonmusk,NA,,,
P:1577845862273019904,https://t.co/x3L42vugcB,https://t.co/x3L42vugcB,,,
P:1577845753908965376,RT @5511matynnar: God Bless Our Great USA ✝️🇺🇸 https://t.co/XPjI7OSiGb,https://t.co/XPjI7OSiGb,,,
P:1577844789269172224,@RealDonaldTrump @TrumpWarRoom @MELANIATRUMP @DonaldJTrumpJr @EricTrump https://t.co/XgxBisEwgM,https://t.co/XgxBisEwgM,,,
P:1577844546536349699,@tkscoloradova @realDonaldTrump But but… https://t.co/UPFSMXBa4o,https://t.co/UPFSMXBa4o,,,
P:1577844204641951744,"RT @_BarringtonII: Hey @elonmusk, please bring back @realDonaldTrump on election night 2022. 

Would be a night to remember.",NA,,,
P:1577844184404594688,"RT @sky_carrot0319: @realdonaldtrump
#峡谷陸レースTA
1:31.81 (30fps) https://t.co/M20S9UZSap",https://t.co/M20S9UZSap,,,
P:1577844164376793088,"RT @sky_carrot0319: @realdonaldtrump
＃峡谷陸レースTA
別ゲー堪能
1:33.81 (省エネ) https://t.co/jMqBjg4yoI",https://t.co/jMqBjg4yoI,,,
P:1577843692500832256,RT @TeslasHogDexter: @USAHellfire @AOC @realDonaldTrump Please add #dEmsareOVER TO YOUR TWEETS &amp; I’ll retweet them all!! https://t.co/beDEm…,https://t.co/beDEm…,,,
P:1577843670933540867,"“Liberty is a duty, not a right.” – @realDonaldTrump #MakeAmericaGreatAgain",NA,,,
P:1577843091112853504,"Trump is literally the anti-christ. — Donald J. Trump (@realDonaldTrump) November 25, 2018 As Trump says, ""I'm not saying there won't be wars."" Just not this war",NA,,,
P:1577843051854036992,"@SeraFinArt4 @SeraFinArt2022 @sjfina1 @DONKEYKONGNUT @Thundeer20 @Bigfoothairyst1 @ohdeer77 @BANANADEER4 @chubbs172 @GODISBACK5 @gnarlyballs @nutcontroversy @realDonaldTrump @GenFlynn @FBI @CIA @NSAGov @USArmy @usairforce @USMC @USNavy @StateDept @FBINewYork @FBIPhoenix @FBILouisville @amnesty @DHSgov @amnestyusa @amnestypress @FLOTUS @FBIWFO @FBIAlbuquerque @FBIAtlanta @FBIPittsburgh @FBIBoston @FBIAlbany @FBIBaltimore @FBIBirmingham @FBIBuffalo @FBICincinnati @FBIColumbia @FBIDenver @FBIDallas @FBIDetroit @FBILosAngeles @TheJusticeDept @UCLA @MilitaryStart4 @lightersup9 Do you see what their terrorism caused controlling collective crime by #scottdavidhelton 
@militarystart4
 #alisonwu 
&amp; proxy caused censoring as trump terrorists who betray trump/followers &amp; play satanic games w American/International WOMEN &amp; CHILDREN'S LIVES in this admn https://t.co/NjPxMSJybf",https://t.co/NjPxMSJybf,,,
P:1577842624572313600,@vileCowboy @realDonaldTrump https://t.co/awDqR16hmi,https://t.co/awDqR16hmi,,,
P:1577842301287763970,"RT @PardonRoss: Pushing to get to 497,000 now… wow. We REALLY ARE close now people!!!! #FreeRoss

https://t.co/dlbHi081vC",https://t.co/dlbHi081vC,,,
P:1577842287148613632,RT @SJFina2022: @SeraFinArt4 @SeraFinArt2022 @sjfina1 @DONKEYKONGNUT @Thundeer20 @Bigfoothairyst1 @ohdeer77 @BANANADEER4 @chubbs172 @GODISB…,NA,,,
P:1577842273471016960,RT @SJFina2022: @SeraFinArt4 @SeraFinArt2022 @sjfina1 @DONKEYKONGNUT @Thundeer20 @Bigfoothairyst1 @ohdeer77 @BANANADEER4 @chubbs172 @GODISB…,NA,,,
P:1577842197071683585,"@SeraFinArt4 @SeraFinArt2022 @sjfina1 @DONKEYKONGNUT @Thundeer20 @Bigfoothairyst1 @ohdeer77 @BANANADEER4 @chubbs172 @GODISBACK5 @gnarlyballs @nutcontroversy @realDonaldTrump @GenFlynn @FBI @CIA @NSAGov @USArmy @usairforce @USMC @USNavy @StateDept @FBINewYork @FBIPhoenix @FBILouisville @amnesty @DHSgov @amnestyusa @amnestypress @FLOTUS @FBIWFO @FBIAlbuquerque @FBIAtlanta @FBIPittsburgh @FBIBoston @FBIAlbany @FBIBaltimore @FBIBirmingham @FBIBuffalo @FBICincinnati @FBIColumbia @FBIDenver @FBIDallas @FBIDetroit @FBILosAngeles @TheJusticeDept @UCLA @MilitaryStart4 @lightersup9 Why's @serafinart4 acnt blocked 7 days for me tweeting that Im NOT a whore never've been! Haven't had sex in yrs in any way/was celibate 10 YRS WHEN waiting to meet/marry MY SOULMATE when scott started this stalking MY LIFE
WHY'RE #scottdavidhelton/proxy acnts tagged on MY POSTS https://t.co/OwYgH1e0vL",https://t.co/OwYgH1e0vL,,,
P:1577841984357761029,"RT @hydro_run: Donald J. Trump
@realDonaldTrump

Believe! https://t.co/FuoYqa5wxq",https://t.co/FuoYqa5wxq,,,
